id,title,artist,genre,mood,energy,tempo_bpm,valence,danceability,acousticness,popularity,release_decade,mood_tags,language,instrumentalness
1,Sunrise City,Neon Echo,pop,happy,0.82,118,0.84,0.79,0.18,82,2020,euphoric|uplifting,english,0.02
2,Midnight Coding,LoRoom,lofi,chill,0.42,78,0.56,0.62,0.71,45,2020,focused|mellow,instrumental,0.85
3,Storm Runner,Voltline,rock,intense,0.91,152,0.48,0.66,0.10,68,2010,aggressive|driving,english,0.03
4,Library Rain,Paper Lanterns,lofi,chill,0.35,72,0.60,0.58,0.86,39,2020,calm|studious,instrumental,0.80
5,Gym Hero,Max Pulse,pop,intense,0.93,132,0.77,0.88,0.05,90,2020,aggressive|euphoric,english,0.01
6,Spacewalk Thoughts,Orbit Bloom,ambient,chill,0.28,60,0.65,0.41,0.92,30,2010,dreamy|meditative,instrumental,0.95
7,Coffee Shop Stories,Slow Stereo,jazz,relaxed,0.37,90,0.71,0.54,0.89,41,2000,nostalgic|warm,english,0.60
8,Night Drive Loop,Neon Echo,synthwave,moody,0.75,110,0.49,0.73,0.22,57,1980,nostalgic|moody,instrumental,0.10
9,Focus Flow,LoRoom,lofi,focused,0.40,80,0.59,0.60,0.78,48,2020,focused|mellow,instrumental,0.70
10,Rooftop Lights,Indigo Parade,indie pop,happy,0.76,124,0.81,0.82,0.35,63,2010,euphoric|uplifting,english,0.20
11,Velvet Harbor,Marina Vale,folk,nostalgic,0.54,96,0.72,0.61,0.67,52,1990,nostalgic|warm,english,0.55
12,Golden Hour Drive,Arden West,hip-hop,confident,0.81,128,0.69,0.84,0.12,74,2020,confident|smooth,english,0.05
13,Winter Window,Clara Row,classical,peaceful,0.22,74,0.66,0.34,0.95,35,2000,peaceful|meditative,instrumental,0.90
14,Afterglow Hearts,Solstice Lane,R&B,romantic,0.68,104,0.78,0.74,0.41,66,2010,romantic|smooth,english,0.15
15,City of Echoes,Northline,electronic,dreamy,0.63,124,0.57,0.76,0.24,58,2010,dreamy|euphoric,english,0.08
16,Backroad Sunrise,Harper Reed,country,upbeat,0.71,112,0.74,0.80,0.45,61,2000,upbeat|warm,english,0.30
17,Midnight Bloom,The Velvet Tones,folk,calm,0.48,86,0.62,0.57,0.74,44,1990,calm|nostalgic,english,0.50
18,Neon Skyline,Pixel Harbor,hip-hop,energetic,0.88,138,0.53,0.91,0.08,79,2020,energetic|confident,english,0.04
